open,close,high,low,value,quantity,end
6884.0,6884.0,6884.0,6884.0,351084.0,51,2022-02-01 06:59:59
6878.0,6864.5,6896.0,6855.0,205330237.5,29874,2022-02-01 07:59:59
6860.5,6853.0,6870.0,6830.0,164950801.0,24089,2022-02-01 08:59:59
6850.0,6860.5,6864.0,6826.0,118797437.0,17362,2022-02-01 09:59:59
6860.5,6871.5,6880.0,6837.0,501152025.0,73065,2022-02-01 10:59:59
6871.5,6946.0,6965.0,6862.5,1387923524.5,200360,2022-02-01 11:59:59
6945.5,6940.0,6967.0,6924.5,864803355.5,124556,2022-02-01 12:59:59
6941.5,6953.5,6960.5,6916.0,463269694.5,66739,2022-02-01 13:59:59
6952.5,6959.5,6980.0,6933.0,546491744.5,78523,2022-02-01 14:59:59
6960.5,6949.0,6972.0,6940.5,475118539.0,68277,2022-02-01 15:59:59
6950.5,6971.0,6994.5,6947.0,677329044.5,97072,2022-02-01 16:59:59
6973.0,6991.5,7013.5,6955.0,1056154265.5,151196,2022-02-01 17:59:59
6990.5,6949.5,6990.5,6932.0,1303330656.0,187486,2022-02-01 18:49:08
6935.0,6946.5,6979.0,6930.0,235098430.5,33823,2022-02-01 19:59:59
6944.5,6921.5,6944.5,6921.0,174833667.5,25233,2022-02-01 20:59:59
6926.5,6929.5,6932.5,6920.0,80213999.0,11585,2022-02-01 21:59:59
6929.5,6930.0,6940.5,6920.5,103166497.0,14890,2022-02-01 22:59:59
6934.0,6976.0,6978.0,6930.5,173658802.5,24956,2022-02-01 23:59:53
6975.0,6975.0,6975.0,6975.0,355725.0,51,2022-02-02 06:59:59
6976.0,6963.0,6998.0,6956.0,96663382.0,13858,2022-02-02 07:59:59
6965.0,6962.5,6981.0,6952.0,52024289.5,7472,2022-02-02 08:59:59
6960.5,6977.5,6995.5,6955.0,102223345.0,14647,2022-02-02 09:59:59
6976.0,6955.5,6983.5,6936.0,507836357.5,72950,2022-02-02 10:59:59
6955.5,6985.0,6999.0,6950.5,958198948.0,137273,2022-02-02 11:59:59
6985.5,6980.5,6995.5,6975.0,401376974.0,57457,2022-02-02 12:59:59
6978.0,6981.0,6991.0,6945.5,652334416.5,93613,2022-02-02 13:59:59
6982.0,6988.0,7003.0,6965.0,438545246.0,62755,2022-02-02 14:59:59
6990.0,7014.5,7029.0,6985.5,582457643.5,83063,2022-02-02 15:59:59
7014.5,7002.0,7034.0,6997.5,660269274.5,94082,2022-02-02 16:59:59
7002.0,7013.0,7031.0,6992.0,657329658.0,93772,2022-02-02 17:59:59
7013.0,7016.0,7020.0,6982.0,851100095.0,121475,2022-02-02 18:59:59
7016.0,7016.5,7023.0,7000.0,441520635.5,62940,2022-02-02 19:59:59
7016.5,7029.0,7040.0,7016.5,182686955.0,25991,2022-02-02 20:59:59
7031.0,7039.0,7050.0,7015.5,138952381.0,19761,2022-02-02 21:59:59
7042.0,7029.5,7042.0,7020.0,64401590.0,9163,2022-02-02 22:59:59
7029.5,7040.0,7044.5,7027.5,89207373.5,12677,2022-02-02 23:59:58
7026.5,7026.5,7026.5,7026.5,2571699.0,366,2022-02-03 06:59:59
7025.0,7005.5,7025.0,6984.5,206480385.5,29486,2022-02-03 07:59:59
7004.5,6996.0,7023.5,6995.0,123430666.0,17613,2022-02-03 08:59:59
6995.0,6970.0,6996.0,6955.0,331736749.0,47552,2022-02-03 09:59:59
6968.5,6948.0,6970.0,6920.0,856079003.5,123208,2022-02-03 10:59:59
6944.0,7005.0,7030.0,6944.0,956044780.5,136593,2022-02-03 11:59:59
7006.0,6914.5,7015.5,6907.0,970519809.5,139787,2022-02-03 12:59:59
6912.0,6867.0,6915.0,6846.0,1001871954.5,145669,2022-02-03 13:59:59
6867.0,6868.5,6909.5,6846.0,584801586.5,85143,2022-02-03 14:59:59
6868.0,6885.0,6891.0,6860.5,309746659.0,45015,2022-02-03 15:59:59
6887.0,6822.0,6904.0,6815.5,472175867.0,68899,2022-02-03 16:59:59
6821.5,6805.0,6875.0,6800.5,1011561776.0,147896,2022-02-03 17:59:59
6805.0,6835.0,6840.5,6794.5,1430413645.0,209522,2022-02-03 18:59:59
