open,close,high,low,value,quantity,end
255.99,255.0,258.19,253.7,9165474633.3,35851840,2020-01-03 23:59:59
254.75,253.9,254.84,251.4,5646009935.8,22348300,2020-01-06 23:59:59
253.57,259.15,259.15,253.03,10485882097.9,40817240,2020-01-08 23:59:59
259.4,257.99,261.76,257.01,9936032087.9,38329020,2020-01-09 23:59:59
257.86,258.19,259.25,256.88,4864405366.3,18851390,2020-01-10 23:59:59
258.3,262.4,262.4,257.15,6719255698.1,25855010,2020-01-13 23:59:59
262.5,259.05,263.22,258.62,8103825686.4,31125740,2020-01-14 23:59:59
258.49,256.31,258.91,254.21,12661740755.8,49361790,2020-01-15 23:59:59
257.11,257.51,259.51,256.1,10367670370.1,40246770,2020-01-16 23:59:59
258.2,262.5,262.82,257.75,11730973230.7,44914290,2020-01-17 23:59:59
263.2,266.28,266.97,261.8,7891039716.6,29797710,2020-01-20 23:59:59
265.5,268.06,268.9,263.02,10116243295.7,38082090,2020-01-21 23:59:59
268.72,266.54,270.8,265.5,11869000221.9,44282490,2020-01-22 23:59:59
264.64,263.73,266.89,262.24,10758037619.6,40604170,2020-01-23 23:59:59
264.5,265.49,267.5,264.21,7262832432.3,27340100,2020-01-24 23:59:59
261.0,255.32,262.1,255.32,14573355407.9,56453370,2020-01-27 23:59:59
257.0,257.7,258.84,254.1,12365444789.1,48137360,2020-01-28 23:59:59
258.4,259.94,261.57,257.61,9098209650.8,35047940,2020-01-29 23:59:59
258.0,257.31,258.69,255.27,8167114682.7,31769340,2020-01-30 23:59:59
258.5,252.2,259.2,252.17,12249844290.7,47921560,2020-01-31 23:59:59
251.8,253.99,254.96,251.1,13363918755.6,52728460,2020-02-03 23:59:59
255.3,255.4,257.38,252.9,12692962569.8,49786360,2020-02-04 23:59:59
255.89,255.2,257.66,253.14,12992374109.8,50756570,2020-02-05 23:59:59
256.5,252.11,258.0,251.86,11098851157.0,43615980,2020-02-06 23:59:59
253.1,254.3,254.3,248.73,12648688569.6,50226630,2020-02-07 23:59:59
254.55,252.26,255.73,252.07,8929308973.1,35220690,2020-02-10 23:59:59
253.75,254.5,259.77,253.0,20381955261.5,79454730,2020-02-11 23:59:59
255.4,254.5,255.49,252.31,13351886412.8,52523300,2020-02-12 23:59:59
