Open,High,Low,Close,Adj Close,Volume
16547.9140625,16553.69921875,16529.07421875,16539.396484375,16539.396484375,0
16538.013671875,16556.140625,16536.416015625,16556.140625,16556.140625,0
16556.494140625,16564.591796875,16549.50390625,16557.580078125,16557.580078125,0
16557.521484375,16557.912109375,16540.302734375,16548.86328125,16548.86328125,0
16546.4296875,16548.51171875,16528.251953125,16530.708984375,16530.708984375,16758784
16530.771484375,16536.328125,16525.9140625,16536.328125,16536.328125,0
16536.59375,16554.11328125,16536.59375,16548.146484375,16548.146484375,0
16548.072265625,16552.021484375,16525.9453125,16536.4765625,16536.4765625,47280128
16536.546875,16538.916015625,16523.783203125,16524.33203125,16524.33203125,0
16523.822265625,16541.65234375,16521.234375,16541.65234375,16541.65234375,0
16542.40625,16548.052734375,16541.396484375,16546.94921875,16546.94921875,0
16548.33203125,16557.404296875,16548.33203125,16556.072265625,16556.072265625,0
16556.236328125,16568.505859375,16556.236328125,16564.890625,16564.890625,0
16565.30859375,16567.5859375,16550.87109375,16552.162109375,16552.162109375,0
16553.0,16565.90625,16553.0,16556.134765625,16556.134765625,0
16556.44140625,16559.427734375,16552.751953125,16559.427734375,16559.427734375,0
16559.70703125,16579.337890625,16559.70703125,16572.501953125,16572.501953125,8666112
16572.17578125,16593.46484375,16571.31640625,16586.349609375,16586.349609375,0
16585.765625,16603.79296875,16584.427734375,16595.83984375,16595.83984375,39303168
16596.072265625,16622.14453125,16596.072265625,16607.916015625,16607.916015625,29542400
16608.708984375,16626.90625,16608.447265625,16613.94921875,16613.94921875,89082880
16614.111328125,16617.142578125,16606.0390625,16617.142578125,16617.142578125,0
16617.212890625,16617.212890625,16604.0,16613.220703125,16613.220703125,0
16612.919921875,16630.439453125,16612.919921875,16625.515625,16625.515625,0
16625.509765625,16634.52734375,16601.185546875,16604.12890625,16604.12890625,0
16603.552734375,16603.552734375,16572.228515625,16585.587890625,16585.587890625,186740736
16585.337890625,16602.75390625,16576.390625,16602.296875,16602.296875,0
16601.724609375,16677.0625,16596.572265625,16675.173828125,16675.173828125,237762560
16673.560546875,16673.560546875,16644.28125,16647.150390625,16647.150390625,113892352
16646.736328125,16658.5390625,16635.173828125,16654.7890625,16654.7890625,94795776
16654.1796875,16660.572265625,16642.19921875,16642.37890625,16642.37890625,23991296
16643.1328125,16751.025390625,16642.482421875,16733.3203125,16733.3203125,685169664
16730.89453125,16759.34375,16722.005859375,16738.244140625,16738.244140625,302564352
16738.748046875,16743.384765625,16722.615234375,16723.53515625,16723.53515625,176388096
16722.537109375,16741.27734375,16722.537109375,16736.640625,16736.640625,225211392
16736.615234375,16737.525390625,16713.490234375,16734.787109375,16734.787109375,139137024
16735.609375,16744.224609375,16731.697265625,16731.697265625,16731.697265625,30431232
16730.953125,16735.064453125,16698.087890625,16707.037109375,16707.037109375,46505984
16706.705078125,16714.703125,16693.642578125,16707.150390625,16707.150390625,179221504
16707.29296875,16743.041015625,16702.654296875,16739.27734375,16739.27734375,292578304
16738.236328125,16741.48828125,16723.0703125,16723.935546875,16723.935546875,0
16723.203125,16726.3828125,16717.83203125,16722.05078125,16722.05078125,0
16722.072265625,16734.701171875,16716.5859375,16727.607421875,16727.607421875,0
16728.4375,16738.482421875,16727.005859375,16738.470703125,16738.470703125,0
16738.76953125,16738.76953125,16725.134765625,16733.21484375,16733.21484375,0
16733.8203125,16741.69140625,16731.267578125,16741.69140625,16741.69140625,0
16748.845703125,16759.111328125,16707.3984375,16708.857421875,16708.857421875,276126720
16708.32421875,16723.60546875,16688.482421875,16688.482421875,16688.482421875,213874688
16688.84765625,16707.51171875,16680.625,16700.056640625,16700.056640625,130288640
16700.29296875,16700.943359375,16666.916015625,16678.140625,16678.140625,0
16679.291015625,16690.59375,16679.291015625,16684.15234375,16684.15234375,68002816
16683.830078125,16700.548828125,16677.87109375,16696.939453125,16696.939453125,0
16697.326171875,16700.46484375,16688.775390625,16691.66015625,16691.66015625,0
16692.26953125,16719.958984375,16689.7890625,16719.958984375,16719.958984375,17508352
16721.240234375,16760.447265625,16721.240234375,16733.84375,16733.84375,261134336
16733.1875,16734.48828125,16719.21875,16733.474609375,16733.474609375,0
16733.693359375,16737.673828125,16714.830078125,16723.326171875,16723.326171875,0
16724.5625,16759.87890625,16724.5625,16758.69921875,16758.69921875,62049280
16756.40234375,16756.40234375,16741.484375,16743.46875,16743.46875,0
16744.017578125,16748.451171875,16733.13671875,16736.234375,16736.234375,27625472
16734.439453125,16737.798828125,16712.908203125,16713.888671875,16713.888671875,105897984
16714.34375,16732.68359375,16714.34375,16728.439453125,16728.439453125,119075840
16728.587890625,16759.248046875,16696.62890625,16696.62890625,16696.62890625,532247552
16687.10546875,16687.10546875,16639.509765625,16665.87109375,16665.87109375,548231168
16667.44140625,16685.49609375,16630.984375,16630.984375,16630.984375,389563392
16629.419921875,16641.076171875,16622.37109375,16630.1640625,16630.1640625,271706112
16630.3671875,16650.978515625,16630.3671875,16647.05859375,16647.05859375,177948672
16648.36328125,16652.220703125,16633.734375,16647.4921875,16647.4921875,195572736
16647.6015625,16667.400390625,16647.40234375,16660.10546875,16660.10546875,255580160
16661.28515625,16675.890625,16660.521484375,16673.580078125,16673.580078125,132721664
16673.25,16675.2265625,16661.0078125,16672.7265625,16672.7265625,0
16674.00390625,16691.013671875,16674.00390625,16679.951171875,16679.951171875,0
16680.205078125,16685.458984375,16667.763671875,16669.9296875,16669.9296875,0
16671.099609375,16724.76171875,16669.287109375,16710.986328125,16710.986328125,279676928
