open,close,high,low,value,quantity,end
0.046,0.046,0.046,0.046,22557480.0,490380000,2020-02-03 09:59:59
0.04606,0.04616,0.04641,0.045835,444525343.79999995,9640550000,2020-02-03 10:59:59
0.046165,0.04623,0.046255,0.046,96205958.15000002,2086650000,2020-02-03 11:59:59
0.04624,0.046355,0.046565,0.046125,146235850.45,3153370000,2020-02-03 12:59:59
0.04634,0.046335,0.046415,0.04624,47926535.39999999,1034230000,2020-02-03 13:59:59
0.046335,0.04637,0.04645,0.046295,74084801.65,1597900000,2020-02-03 14:59:59
0.04638,0.0461,0.046395,0.04605,109067093.99999999,2360430000,2020-02-03 15:59:59
0.046095,0.046215,0.04632,0.046025,93868961.09999996,2032190000,2020-02-03 16:59:59
0.04622,0.0464,0.0464,0.04614,94674316.29999998,2045410000,2020-02-03 17:59:59
0.0464,0.04615,0.04656,0.04615,222771728.45000005,4814370000,2020-02-03 18:51:05
0.04636,0.04636,0.04636,0.04636,2845576.8,61380000,2020-02-04 09:59:59
0.04637,0.04664,0.04682,0.04633,289377643.25,6207470000,2020-02-04 10:59:59
0.04664,0.046695,0.0467,0.04654,114418301.44999997,2452590000,2020-02-04 11:59:59
0.046695,0.046975,0.047,0.046635,328666434.15000004,7010160000,2020-02-04 12:59:59
0.046965,0.047125,0.047225,0.0469,264368502.9500001,5614510000,2020-02-04 13:59:59
0.047125,0.046965,0.04725,0.04695,134516007.19999996,2853220000,2020-02-04 14:59:59
0.046965,0.047125,0.04715,0.04691,95272921.49999997,2025790000,2020-02-04 15:59:59
0.047125,0.047385,0.047435,0.047065,189351155.8,4003810000,2020-02-04 16:59:59
0.047385,0.04736,0.0474,0.04717,110734718.45000002,2341790000,2020-02-04 17:59:59
0.04736,0.047255,0.047375,0.046925,282436451.0999999,5989690000,2020-02-04 18:59:59
0.047325,0.047325,0.047325,0.047325,1565511.0,33080000,2020-02-05 09:59:59
0.04733,0.047445,0.04745,0.047025,198339674.80000004,4196290000,2020-02-05 10:59:59
0.047445,0.04757,0.04757,0.04732,381148671.74999994,8028850000,2020-02-05 11:59:59
0.04757,0.04771,0.04773,0.047465,215535878.90000007,4529270000,2020-02-05 12:59:59
0.047725,0.048,0.048,0.04766,244329533.84999996,5107730000,2020-02-05 13:59:59
0.048,0.047955,0.048175,0.04791,232042201.75,4831620000,2020-02-05 14:59:59
0.047975,0.047855,0.04803,0.047825,103470676.10000001,2158880000,2020-02-05 15:59:59
0.04784,0.047875,0.0479,0.04778,82772438.79999998,1729360000,2020-02-05 16:59:59
0.047885,0.048085,0.048085,0.047825,191581915.95,3993480000,2020-02-05 17:59:59
0.048065,0.04768,0.0481,0.04768,236290944.4,4939550000,2020-02-05 18:59:59
0.048,0.048,0.048,0.048,2390400.0,49800000,2020-02-06 09:59:59
0.048,0.048175,0.04835,0.048,289420010.40000004,6007250000,2020-02-06 10:59:59
0.04817,0.04807,0.0483,0.047915,158895034.4,3302030000,2020-02-06 11:59:59
